index,actor_2_name,genres,actor_1_name,movie_title,actor_3_name,imdb_score
2155,Christina Milian,Drama|Horror|Sci-Fi|Thriller,Ian Somerhalder,Pulse ,Rick Gonzalez,4.7
2156,Judge Reinhold,Action|Comedy|Crime|Thriller,Dean Stockwell,Beverly Hills Cop II ,Ronny Cox,6.4
2157,Kimberly J. Brown,Comedy,Angus T. Jones,Bringing Down the House ,Steve Harris,5.5
2158,Scott Glenn,Crime|Drama|Horror|Thriller,Anthony Hopkins,The Silence of the Lambs ,Anthony Heald,8.6
2159,Lara Flynn Boyle,Comedy|Music,Tia Carrere,Wayne's World ,Kurt Fuller,7
2160,Steve-O,Action|Comedy|Documentary,Bam Margera,Jackass 3D ,Chris Pontius,7.1
2161,Murray Hamilton,Adventure|Horror|Thriller,Roy Scheider,Jaws 2 ,Joseph Mascolo,5.7
2162,Nick Zano,Adventure|Comedy|Drama|Family|Romance,Jamie Lee Curtis,Beverly Hills Chihuahua ,Ali Hillis,3.7
2163,Lili Taylor,Horror|Mystery|Thriller,Mackenzie Foy,The Conjuring ,Hayley McFarland,7.5
2164,Tracy Morgan,Adventure|Comedy|Family|Romance,Nia Long,Are We There Yet? ,Jay Mohr,4.6
2165,Mark Duplass,Comedy,Gary Cole,Tammy ,Ben Falcone,4.9
2166,Aaron Yoo,Drama|Mystery|Thriller,Sarah Roemer,Disturbia ,Jose Pablo Cantillo,6.9
2167,Sarah Silverman,Comedy|Music,Miranda Cosgrove,School of Rock ,Mike White,7.1
2168,Cary-Hiroyuki Tagawa,Action|Adventure|Fantasy|Sci-Fi|Thriller,Christopher Lambert,Mortal Kombat ,Bridgette Wilson-Sampras,5.8
2169,Christopher Cousins,Drama|Mystery|Romance|Thriller,Jessica Paré,Wicker Park ,Mark Camacho,7
2170,Jaime King,Comedy|Crime,Busy Philipps,White Chicks ,Brittany Daniel,5.4
2171,Nick Krause,Comedy|Drama,Shailene Woodley,The Descendants ,Beau Bridges,7.3
2172,Zane Holtz,Adventure|Comedy|Drama|Family|Mystery,Tim Blake Nelson,Holes ,Ski Carr,7.1
2173,Bobby Coleman,Drama|Family|Music|Romance,Kelly Preston,The Last Song ,Melissa Ordway,5.8
2174,Scoot McNairy,Biography|Drama|History,Quvenzhané Wallis,12 Years a Slave ,Taran Killam,8.1
2175,Nick Cannon,Comedy|Drama|Music|Romance,Leonard Roberts,Drumline ,Jason Weaver,5.7
2176,Cicely Tyson,Comedy|Drama|Romance,Michael Jai White,Why Did I Get Married Too? ,Tasha Smith,4.4
2177,Dianne Wiest,Fantasy|Romance,Johnny Depp,Edward Scissorhands ,Conchata Ferrell,7.9
2178,Emilia Clarke,Drama|Romance,Sam Claflin,Me Before You ,Brendan Coyle,7.6
2179,Tom Arnold,Comedy|Crime|Drama,John Amos,Madea's Witness Protection ,Romeo Miller,4.8
2180,Fernando Rey,Action|Crime|Drama|Thriller,Roy Scheider,The French Connection ,Tony Lo Bianco,7.8
2181,Jay Hernandez,Comedy,Mila Kunis,Bad Moms ,Jada Pinkett Smith,6.7
2182,Carmen Electra,Comedy|Romance,Alyson Hannigan,Date Movie ,Fred Willard,2.7
2183,Rob Paulsen,Adventure|Animation|Family|Fantasy,Roger Rees,Return to Never Land ,Spencer Breslin,5.8
2184,Tom Wilkinson,Biography|Drama|History,David Oyelowo,Selma ,Oprah Winfrey,7.5
2185,Phil Collins,Adventure|Animation|Family|Musical,Haley Joel Osment,The Jungle Book 2 ,Tony Jay,5.4
2186,Skye McCole Bartusiak,Drama|Horror|Mystery|Thriller,Barry Watson,Boogeyman ,Charles Mesure,4.1
2187,Amber Valletta,Drama|Mystery|Thriller,Nia Long,Premonition ,Marc Macaulay,5.9
2188,John Fiedler,Animation|Comedy|Drama|Family|Musical,Kath Soucie,The Tigger Movie ,Ken Sansom,6.3
2189,CCH Pounder,Horror|Mystery|Thriller,Jimmy Bennett,Orphan ,Aryana Engineer,7
2190,Joseph Julian Soria,Adventure|Family,Jay Hernandez,Max ,Edgar Arreola,6.8
2191,David Mann,Comedy,Lamman Rucker,Meet the Browns             ,Denise Boutte,3.5
2192,Carmen Electra,Adventure|Comedy,David Carradine,Epic Movie ,Fred Willard,2.3
2193,Mako,Adventure|Fantasy,William Smith,Conan the Barbarian ,Sandahl Bergman,6.9
2194,Jamey Sheridan,Biography|Crime|Drama|History,Billy Crudup,Spotlight ,Brian d'Arcy James,8.1
2195,Justin Chambers,Crime|Drama|Thriller,Jay Hernandez,Lakeview Terrace ,Robert Pine,6.1
2196,Sarah Roemer,Horror|Thriller,Sarah Michelle Gellar,The Grudge 2 ,Matthew Knight,5
2197,James Pickens Jr.,Comedy|Drama|Romance,Richard Lawson,How Stella Got Her Groove Back ,Barry Shabaka Henley,5.5
2198,George Carlin,Adventure|Comedy|Fantasy|Music|Sci-Fi,Keanu Reeves,Bill & Ted's Bogus Journey ,Alex Winter,6.2
2199,Tina Fey,Comedy|Drama|Romance|Thriller,Robin Williams,Man of the Year ,Amy Poehler,6.2
2200,Maximilian Schell,Action|Sci-Fi,Robert Forster,The Black Hole ,Yvette Mimieux,5.9
2201,Thekla Reuten,Crime|Drama|Thriller,Violante Placido,The American ,Filippo Timi,6.3
2202,Constance Marie,Biography|Drama|Music,Jon Seda,Selena ,Jacob Vargas,6.7
2203,Dave Foley,Comedy,Diedrich Bader,Vampires Suck ,Anneliese van der Pol,3.5
2204,Harriet Walter,Drama,Brad Pitt,Babel ,Dermot Crowley,7.5
2205,Abigail Spencer,Comedy|Drama,Tina Fey,This Is Where I Leave You ,Jane Fonda,6.6
2206,Meryl Streep,Drama|Mystery,Philip Seymour Hoffman,Doubt ,Carrie Preston,7.5
2207,Maurice LaMarche,Action|Comedy,Jeremy Shada,Team America: World Police ,Trey Parker,7.2
2208,Keram Malicki-Sánchez,Horror|Thriller,Gunnar Hansen,Texas Chainsaw 3D ,Shaun Sipos,4.8
2209,Holly Hunter,Crime|Drama|Mystery|Thriller,William McNamara,Copycat ,Harry Connick Jr.,6.6
2210,Snoop Dogg,Comedy,Marisa Saks,Scary Movie 5 ,Molly Shannon,3.5
2211,Lee Marvin,Comedy|Drama|Musical|Romance|Western,Clint Eastwood,Paint Your Wagon ,Ray Walston,6.7
2212,Denis O'Hare,Biography|Drama|History,James Franco,Milk ,Lucas Grabeel,7.6
2213,Jan Cornet,Action|Adventure|Drama|Mystery,Peter Firth,Risen ,María Botto,6.3
2214,Ron Eldard,Horror,Isaiah Washington,Ghost Ship ,Francesca Rettondini,5.5
2215,Thomas Lennon,Adventure|Comedy,Patton Oswalt,A Very Harold & Kumar 3D Christmas ,Paula Garcés,6.3
2216,Robert Wagner,Crime|Drama|Mystery|Thriller,Bill Murray,Wild Things ,Jeff Perry,6.5
2217,Paige Turco,Crime|Thriller,Sela Ward,The Stepfather ,Skyler Samuels,5.6
2218,Jesper Christensen,Drama|Thriller,Tom Wilkinson,The Debt ,Romi Aboulafia,6.9
2219,Lili Taylor,Comedy|Drama|Music|Romance,Drake Bell,High Fidelity ,Lisa Bonet,7.6
2220,Jason Beghe,Horror|Mystery,Johnny Lewis,One Missed Call ,Margaret Cho,3.9
2221,Beverly D'Angelo,Crime|Drama|Thriller,Joe Mantegna,Eye for an Eye ,Philip Baker Hall,6.1
2222,Saffron Burrows,Crime|Drama|Romance|Thriller,Jason Statham,The Bank Job ,Daniel Mays,7.3
2223,Kirsten Dunst,Drama|Fantasy|Romance|Sci-Fi,Kate Winslet,Eternal Sunshine of the Spotless Mind ,Tom Wilkinson,8.3
2224,James Wolk,Comedy|Family|Romance,Jamie Lee Curtis,You Again ,Christine Lakin,5.8
2225,Chris Evans,Action|Crime|Drama|Thriller,Keanu Reeves,Street Kings ,Noel Gugliemi,6.8
2226,Thomas Law,Action|Comedy|Sci-Fi,Michael Smiley,The World's End ,Jasper Levine,7
2227,Laura Harring,Comedy|Crime|Family|Mystery|Romance|Thriller,Kay Panabaker,Nancy Drew ,Tate Donovan,5.9
2228,Damien Garvey,Action|Horror|Sci-Fi|Thriller,Jay Laga'aia,Daybreakers ,Tiffany Lamb,6.5
2229,Kim Shaw,Comedy|Romance,Mike Vogel,She's Out of My League ,Geoff Stults,6.4
2230,Luke Bracey,Adventure|Comedy|Family|Romance,Leighton Meester,Monte Carlo ,Brett Cullen,5.8
2231,Frankie Muniz,Horror|Thriller,Adam Goldberg,Stay Alive ,Samaire Armstrong,5.1
2232,Tom Selleck,Action|Adventure|Drama|Romance|Western,Alan Rickman,Quigley Down Under ,Ben Mendelsohn,6.8
2233,Larry Miller,Adventure|Animation|Comedy|Family|Romance,Kevin Sussman,Alpha and Omega ,Christine Lakin,5.3
2234,Kyle Schmid,Action|Fantasy|Horror|Thriller,Laura Ramsey,The Covenant ,Toby Hemingway,5.3
2235,Vanessa Lengies,Comedy|Drama|Sport,Jeff Bridges,Stick It ,John Patrick Amedori,6.4
2236,Leo Howard,Comedy|Family|Fantasy,Jimmy Bennett,Shorts ,Jake Short,4.9
2237,Wayne Knight,Comedy|Crime|Drama,Kurtwood Smith,To Die For ,Holland Taylor,6.8
2238,Marc John Jefferies,Adventure|Crime|Mystery|Sci-Fi|Thriller,Samira Wiley,Nerve ,Emily Meade,7.1
2239,James Gammon,Crime|Drama|Western,Viggo Mortensen,Appaloosa ,Tom Bower,6.8
2240,Cary-Hiroyuki Tagawa,Action|Horror|Thriller,Sheryl Lee,Vampires ,Maximilian Schell,6.1
2241,,Action|Adventure|Animation|Family|Fantasy,Pablo Sevilla,Yu-Gi-Oh! Duel Monsters             ,,7
2242,Vera Miles,Horror|Mystery|Thriller,Janet Leigh,Psycho ,John Gavin,8.5
2243,Taran Killam,Comedy|Romance,Dane Cook,My Best Friend's Girl ,Riki Lindhome,5.9
2244,Bruce Greenwood,Drama|Romance,Alex Pettyfer,Endless Love ,Rhys Wakefield,6.3
2245,Zachary Gordon,Comedy|Drama,Hector Elizondo,Georgia Rule ,Jane Fonda,5.9
2246,Adam Arkin,Comedy,Mako,Under the Rainbow ,Billy Barty,5.4
2247,John Wood,Adventure|Comedy|Drama|Fantasy,Matthew Broderick,Ladyhawke ,Leo McKern,7
2248,Jan Hooks,Comedy|Drama|Family,Oliver Platt,Simon Birch ,Dana Ivey,6.9
2249,Don Cheadle,Drama,Adam Sandler,Reign Over Me ,John de Lancie,7.5
2250,William Hurt,Adventure|Biography|Drama,Kristen Stewart,Into the Wild ,Hal Holbrook,8.2
2251,Sarah Silverman,Comedy,Jon Heder,School for Scoundrels ,Jacinda Barrett,5.9
2252,Deborah Kara Unger,Adventure|Drama|Horror|Mystery|Thriller,Radha Mitchell,Silent Hill: Revelation 3D ,Martin Donovan,5
2253,Salma Hayek,Crime|Fantasy|Horror,Quentin Tarantino,From Dusk Till Dawn ,Cheech Marin,7.3
2254,Brenda Blethyn,Animation|Family|Fantasy|Mystery,Kath Soucie,Pooh's Heffalump Movie ,John Fiedler,6.4
2255,Holly Hunter,Comedy|Drama|Romance,Robert Downey Jr.,Home for the Holidays ,Steve Guttenberg,6.6
2256,Chi Ling Chiu,Action|Comedy|Crime|Fantasy,Shengyi Huang,Kung Fu Hustle ,Qiu Yuen,7.8
2257,Mark Feuerstein,Comedy,Leah Remini,Fired Up             ,Sharon Lawrence,6.7
2258,Alex Rocco,Comedy|Family|Music|Musical,Haley Joel Osment,The Country Bears ,Stephen Root,4
2259,Shaun Toub,Drama,Mustafa Haidari,The Kite Runner ,Khalid Abdalla,7.6
2260,Eddie Marsan,Drama,Naomi Watts,21 Grams ,Danny Huston,7.7
2261,Tom Hollander,Action|Crime|Drama|Thriller,Cole Hauser,Paparazzi ,Kelly Carlson,5.8
2262,Taylor Lautner,Drama|Fantasy|Romance,Kristen Stewart,Twilight ,Anna Kendrick,5.2
2263,Lochlyn Munro,Comedy|Romance,Thomas Lennon,A Guy Thing ,James Brolin,5.6
2264,Robert Miano,Comedy|Romance,Andy Dick,Loser ,Zak Orth,5.3
2265,Michael Moore,Crime|Documentary|News,Ronald Reagan,Capitalism: A Love Story ,Bernie Sanders,7.4
2266,Carroll Baker,Biography|Drama|History,Martin Landau,The Greatest Story Ever Told ,José Ferrer,6.6
2267,Michael Kelly,Crime|Drama|Mystery|Thriller,Julia Roberts,Secret in Their Eyes ,Joe Cole,6.2
2268,Tony Cox,Comedy,Carmen Electra,Disaster Movie ,Ike Barinholtz,1.9
2269,Fred Ward,Action|Crime|Thriller,Andrew Fiscella,Armored ,Lorna Raver,5.7
2270,Peter Gallagher,Action|Comedy|Crime|Thriller,Bill Murray,The Man Who Knew Too Little ,Joanne Whalley,6.6
2271,Ari Graynor,Comedy|Romance,Chris Evans,What's Your Number? ,Ed Begley Jr.,6
2272,Vincent Regan,Action|Adventure|Sci-Fi|Thriller,Joseph Gilgun,Lockout ,Jacky Ido,6.1
2273,Ariel Gade,Comedy,Amy Poehler,Envy ,Sam Lerner,4.8
2274,Clifton Collins Jr.,Action|Crime|Sci-Fi|Thriller,Jason Statham,Crank: High Voltage ,David Carradine,6.2
2275,Chazz Palminteri,Comedy|Crime,Jim Broadbent,Bullets Over Broadway ,Dianne Wiest,7.5
2276,Tiffany Dupont,Biography|Drama|History,James Callis,One Night with the King ,Nimrat Kaur,6.3
2277,Tzi Ma,Drama|Mystery|Romance|Thriller|War,Brendan Fraser,The Quiet American ,Holmes Osborne,7.1
2278,Hope Davis,Comedy|Drama,Nicolas Cage,The Weather Man ,Michael Rispoli,6.6
2279,Wes Studi,Action|Crime|Drama|Sport,Fisher Stevens,Undisputed ,Jon Seda,6.1
2280,Dequina Moore,Comedy|Drama|Fantasy|Romance,Aasif Mandvi,Ghost Town ,Jordan Carlos,6.7
2281,Ashley Scott,Action|Crime|Thriller,Taylor Cole,12 Rounds ,Nick Gomez,5.6
2282,Dylan Minnette,Drama|Fantasy|Horror|Mystery,Chloë Grace Moretz,Let Me In ,Kodi Smit-McPhee,7.2
2283,Dustin Nguyen,Action|Comedy|Family,Victor Wong,3 Ninjas Kick Back ,Don Stark,4.3
2284,Mia Farrow,Comedy,Quinton Aaron,Be Kind Rewind ,Melonie Diaz,6.4
2285,Christopher Guest,Comedy|Drama|Music|War,Bob Hoskins,Mrs Henderson Presents ,Sarah Solemani,7.1
2286,Norman Reedus,Action|Crime|Drama|Thriller,Kate Winslet,Triple 9 ,Clifton Collins Jr.,6.3
2287,Lynn Cohen,Comedy,Woody Allen,Deconstructing Harry ,Judy Davis,7.4
2288,Oliver Platt,Comedy|Romance,Matthew Perry,Three to Tango ,David Ramsey,6.1
2289,Omar Sy,Comedy|Drama,Bradley Cooper,Burnt ,Riccardo Scamarcio,6.6
2290,Demi Moore,Comedy|Crime,Robert De Niro,We're No Angels ,James Russo,6
2291,Gaby Hoffmann,Comedy|Musical|Romance,Natasha Lyonne,Everyone Says I Love You ,Jeff DeRocker,6.8
2292,Ewen Bremner,Comedy,Peter Dinklage,Death at a Funeral ,Kris Marshall,7.4
2293,Kelly Preston,Action|Crime|Thriller,Aisha Tyler,Death Sentence ,Edi Gathegi,6.8
2294,James Frain,Adventure|Drama,Robert De Niro,Everybody's Fine ,Brendan Sexton III,7.2
2295,Vanessa Angel,Comedy|Family|Sci-Fi,Scott Baio,Superbabies: Baby Geniuses 2 ,Peter Wingfield,1.9
2296,Susie Essman,Action|Comedy|Crime,Miguel Ferrer,The Man ,Gigi Rice,5.5
2297,Will Patton,Action|Comedy|Crime,Callum Rennie,Code Name: The Cleaner ,Cedric the Entertainer,4.5
2298,Nia Vardalos,Comedy|Crime|Music,Debbie Reynolds,Connie and Carla ,Dash Mihok,6.3
2299,Ricardo Montalban,Comedy|Drama|Music|Musical|Romance,Sammy Davis Jr.,Sweet Charity ,Ben Vereen,7
2300,Katherine Waterston,Comedy|Crime|Drama|Mystery|Romance,Martin Dew,Inherent Vice ,Serena Scott Thomas,6.7
2301,Kylie Minogue,Adventure|Animation|Comedy|Family|Fantasy,Jimmy Fallon,Doogal ,Jon Stewart,2.8
2302,Caity Lotz,Drama|Music,Chris Brown,Battle of the Year ,Laz Alonso,5
2303,Eric McCormack,Crime|Drama|Mystery|Thriller,LeVar Burton,Perception             ,Scott Wolf,7.5
2304,Geoffrey Arend,Comedy|Fantasy,Chriss Anglin,An American Carol ,Gary Coleman,4.3
2305,Demián Bichir,Action|Comedy|Crime|Thriller,Alexa PenaVega,Machete Kills ,Marko Zaror,5.6
2306,Ty Olsson,Drama|Horror|Sci-Fi|Thriller,Laura Harring,Willard ,Jackie Burroughs,6.2
2307,Ashley Scott,Adventure|Comedy,Kevin Alejandro,Strange Wilderness ,Jeff Garlin,5.3
2308,Dexter Fletcher,Biography|Comedy|Drama|History|Music|Musical,Jim Broadbent,Topsy-Turvy ,Lesley Manville,7.4
2309,Cary-Hiroyuki Tagawa,Drama|War,Tom Wilkinson,Little Boy ,Michael Rapaport,7.4
2310,Viggo Mortensen,Biography|Drama|Thriller,Michael Fassbender,A Dangerous Method ,Sarah Gadon,6.5
2311,Keanu Reeves,Animation|Drama|Mystery|Sci-Fi|Thriller,Robert Downey Jr.,A Scanner Darkly ,Rory Cochrane,7.1
2312,Abigail Spencer,Biography|Drama|Sport,Gerard Butler,Chasing Mavericks ,Leven Rambin,7.2
2313,Darren Shahlavi,Horror|Sci-Fi,Catherine Lough Haggquist,Alone in the Dark ,Karin Konoval,2.3
2314,Charlie Saxton,Comedy|Drama|Family|Music|Romance,Scott Porter,Bandslam ,Ryan Donowho,6.4
2315,Anne Heche,Drama|Mystery|Romance|Thriller,Cameron Bright,Birth ,Danny Huston,6.1
2316,Ashley Williams,Action|Crime|Drama|Thriller,David Oyelowo,A Most Violent Year ,Albert Brooks,7
2317,Michael Greyeyes,Drama|History|Romance|War,Landon Liboiron,Passchendaele ,Caroline Dhavernas,6.5
2318,Bill Lake,Biography|Drama,Dylan Authors,Flash of Genius ,Victoria Learn,7
2319,Heath Ledger,Biography|Drama|Music,Christian Bale,I'm Not There. ,Tyrone Benskin,7
2320,Bruce Willis,Action|Thriller,Henry Cavill,The Cold Light of Day ,Óscar Jaenada,4.9
2321,Maximilian Schell,Adventure|Comedy|Drama|Romance,Zachary Gordon,The Brothers Bloom ,Nora Zehetner,6.9
2322,Jennifer Jason Leigh,Comedy|Drama|Romance,Philip Seymour Hoffman,"Synecdoche, New York ",Samantha Morton,7.5
2323,Jada Pinkett Smith,Adventure|Animation|Fantasy,Minnie Driver,Princess Mononoke ,Billy Crudup,8.4
2324,Peter Coyote,Comedy|Drama|Mystery|Romance|Thriller|War,Isabelle Adjani,Bon voyage ,Virginie Ledoyen,6.9
2325,Randy Jones,Biography|Comedy|Musical,Steve Guttenberg,Can't Stop the Music ,Caitlyn Jenner,4.5
2326,Noah Taylor,Crime|Drama|Western,Ray Winstone,The Proposition ,Danny Huston,7.4
2327,Finn Wittrock,Biography|Drama|Sport,Donny Boaz,Courage ,Brent Anderson,7
2328,Jane Krakowski,Comedy|Music,Damon Wayans,Marci X ,Paula Garcés,2.8
2329,Emily Watson,Action|Drama|Sci-Fi|Thriller,Christian Bale,Equilibrium ,Sean Pertwee,7.5
2330,Guang Li,Drama|War,Radha Mitchell,The Children of Huang Shi ,Matthew Walker,7.1
2331,Ellen Burstyn,Crime|Drama|Romance|Thriller,Charlize Theron,The Yards ,Faye Dunaway,6.4
2332,Garrett Clayton,Adventure|Family|Fantasy|Musical,Chazz Palminteri,The Oogieloves in the Big Balloon Adventure ,Toni Braxton,6.7
2333,Angelina Jolie Pitt,Drama|Romance,Brad Pitt,By the Sea ,Melvil Poupaud,5.3
2334,Robin Atkin Downes,Action|Adventure|Animation|Family|Sci-Fi|Thriller,William Hootkins,Steamboy ,Rosalind Ayres,6.9
2335,Costas Mandylor,Drama|History|Sport,Gerard Butler,The Game of Their Lives ,Jimmy Jean-Louis,6.2
2336,Kirsten Dunst,Crime|Drama|Mystery|Romance|Thriller,Ryan Gosling,All Good Things ,Frank Langella,6.3
2337,Jason Scott Lee,Action|Adventure|Drama|History|Romance,Esai Morales,Rapa Nui ,Sandrine Holt,6.4
2338,Yuqi Zhang,Comedy|Family|Sci-Fi,Jiao Xu,CJ7 ,Chi Chung Lam,6.5
2339,Philippe Nahon,Comedy|Family|Fantasy|Sci-Fi,Christian Clavier,Les couloirs du temps: Les visiteurs II ,Marie-Anne Chazel,6
2340,Laura Spencer,Action|Comedy|Crime|Fantasy|Horror|Mystery|Sci-Fi|Thriller,Marco St. John,Dylan Dog: Dead of Night ,Anita Briem,5.1
2341,Richard Schiff,Crime|Drama|Mystery,Al Pacino,People I Know ,Mark Webber,5.5
2342,George Coulouris,Drama|Family,Peter Vaughan,The Doombolt Chase             ,Ewen Solon,7.2
2343,Reeve Carney,Comedy|Drama|Fantasy|Romance,Djimon Hounsou,The Tempest ,Tom Conti,5.4
2344,Aaron Ashmore,Crime|Drama|Mystery|Thriller,Emma Watson,Regression ,Julian Richings,5.7
2345,Traci Dinwiddie,Romance|Short,Necar Zadegan,The Touch ,Elea Oberon,5.2
2346,Sammo Kam-Bo Hung,Action|Drama|History|War,Andy Lau,Three Kingdoms: Resurrection of the Dragon ,Andy On,6.2
2347,Nicholas Lea,Crime|Drama|Thriller,Gerard Butler,Shattered ,Callum Rennie,6.7
2348,Phil LaMarr,Adventure|Animation|Comedy|Family,Leonard Nimoy,Zambezia ,Noureen DeWulf,5.8
2349,Michael Lieber,Biography|Drama|History,Mani Bharathi,Ramanujan ,Kevin McGowan,7
2350,Maggie Wheeler,Animation,Joey D. Vieira,Dwegons and Leprechauns ,Jacqueline Lovell,4.8
2351,Jurnee Smollett-Bell,Action|Biography|Drama|Sport,Robert De Niro,Hands of Stone ,Edgar Ramírez,7.2
2352,Roger Rees,Action|Crime|Thriller,Milla Jovovich,Survivor ,Robert Forster,5.6
2353,Radha Mitchell,Crime|Drama|Mystery|Thriller,Nicolas Cage,The Frozen Ground ,Jodi Lyn O'Keefe,6.4
2354,Sally Hawkins,Drama|Romance,Toby Jones,The Painted Veil ,Alan David,7.5
2355,Alexandra Maria Lara,Action|Biography|Crime|Drama,Moritz Bleibtreu,The Baader Meinhof Complex ,Martina Gedeck,7.4
2356,Michael Spears,Adventure|Drama|Western,Mary McDonnell,Dances with Wolves ,Maury Chaykin,8
2357,John Michael Higgins,Comedy,Justin Timberlake,Bad Teacher ,Phyllis Smith,5.7
2358,Michael O'Neill,Crime|Drama|Mystery|Thriller,Al Pacino,Sea of Love ,Ellen Barkin,6.8
2359,Lin Shaye,Comedy|Family|Romance,Dan Byrd,A Cinderella Story ,Julie Gonzalo,5.9
2360,W. Earl Brown,Horror|Mystery,David Arquette,Scream ,Roger Jackson,7.2
2361,Embeth Davidtz,Horror,Shannon Elizabeth,Thir13en Ghosts ,F. Murray Abraham,5.5
2362,Shelley Duvall,Drama|Horror,Scatman Crothers,The Shining ,Joe Turkel,8.4
2363,Thomas F. Wilson,Adventure|Comedy|Sci-Fi,Lea Thompson,Back to the Future ,J.J. Cohen,8.5
2364,Peter Gallagher,Horror|Mystery|Thriller,Jeffrey Combs,House on Haunted Hill ,Bridgette Wilson-Sampras,5.6
2365,Mary J. Blige,Comedy|Drama,Eric Mendenhall,I Can Do Bad All by Myself ,Hope Olaide Wilson,4.1
2366,Erin O'Brien,Action|Drama,Kari J. Kramer,Fight Valley ,Cabrina Collesides,5
2367,Scott Elrod,Comedy|Drama|Romance,Caroline Dhavernas,The Switch ,Kelli Barrett,6.1
2368,David Agranov,Comedy|Romance,Taran Killam,Just Married ,David Moscow,5.4
2369,Dominic Cooper,Biography|Drama|Thriller,Mem Ferda,The Devil's Double ,Ludivine Sagnier,7.1
2370,Jenni 'Jwoww' Farley,Comedy|Drama|Reality-TV|Romance,Nicole 'Snooki' Polizzi,"Gone, Baby, Gone             ",Paul 'Pauly D' DelVecchio,6.6
2371,Colm Feore,Adventure|Comedy|Drama|Family|Fantasy,Mara Wilson,Thomas and the Magic Railroad ,Peter Fonda,3.6
2372,Glenn Morshower,Horror|Thriller,Radha Mitchell,The Crazies ,John Aylward,6.5
2373,Ryûnosuke Kamiki,Adventure|Animation|Family|Fantasy,Bunta Sugawara,Spirited Away ,Miyu Irino,8.6
2374,Michael Wong,Action|Crime|Thriller,Andy Lau,Firestorm ,Terence Yin,6.2
2375,Anthony Hopkins,Action|Adventure|Drama|History|Romance,Liam Neeson,The Bounty ,Laurence Olivier,7
2376,Sophie Nélisse,Drama|War,Emily Watson,The Book Thief ,Roger Allam,7.6
2377,Michael Cudlitz,Adventure|Comedy|Romance,Katrina Bowden,Sex Drive ,Alice Greczyn,6.5
2378,Kaitlin Olson,Comedy|Romance,Adam Scott,Leap Year ,Dominique McElligott,6.4
2379,Mel Ferrer,Drama|History|War,James Mason,The Fall of the Roman Empire ,Stephen Boyd,6.7
2380,Michael Biehn,Comedy|Drama|Romance,Topher Grace,Take Me Home Tonight ,Dan Fogler,6.3
2381,Rosie Perez,Drama,Holly Hunter,Won't Back Down ,Dante Brown,6.4
2382,Kyra Nichols,Family|Fantasy|Music,Darci Kistler,The Nutcracker ,Margaret Tracey,5.7
2383,Jennifer Jason Leigh,Crime|Drama|Music|Thriller,Steve Buscemi,Kansas City ,Miranda Richardson,6.3
2384,Sarah Gadon,Drama,Logan Lerman,Indignation ,Tracy Letts,7.8
2385,Chloë Grace Moretz,Drama|Horror|Mystery|Thriller,Jimmy Bennett,The Amityville Horror ,Ryan Reynolds,6
2386,Meryl Streep,Comedy|Drama,Nicolas Cage,Adaptation. ,Roger Willie,7.7
2387,Shawn Roberts,Horror,Tony Nappo,Land of the Dead ,Pedro Miguel Arce,6.2
2388,Angelica Lee,Action,Louis Koo,Out of Inferno ,Ching Wan Lau,5.7
2389,Michael Jeter,Adventure|Comedy|Drama,Johnny Depp,Fear and Loathing in Las Vegas ,Ellen Barkin,7.7
2390,Tina Fey,Comedy|Fantasy|Romance,Jennifer Garner,The Invention of Lying ,Martin Starr,6.4
2391,Carla Gallo,Comedy,Craig Roberts,Neighbors ,Ike Barinholtz,6.4
2392,Amy Yasbeck,Action|Comedy|Crime|Fantasy,Peter Greene,The Mask ,Reg E. Cathey,6.9
2393,Jon Lovitz,Comedy|Drama|Family|Fantasy|Romance,Tom Hanks,Big ,John Heard,7.3
2394,Ken Davitian,Comedy,Luenell,Borat: Cultural Learnings of America for Make Benefit Glorious Nation of Kazakhstan ,Chester,7.3
2395,Raquel Welch,Comedy|Romance,Linda Cardellini,Legally Blonde ,Alanna Ubach,6.2
2396,Nichelle Nichols,Action|Adventure|Sci-Fi,Leonard Nimoy,Star Trek III: The Search for Spock ,Walter Koenig,6.6
2397,Colm Feore,Drama|Horror|Thriller,Tom Wilkinson,The Exorcism of Emily Rose ,JR Bourne,6.7
2398,Eddie Griffin,Comedy|Romance,Amy Poehler,Deuce Bigalow: Male Gigolo ,Bree Turner,5.7
2399,Lea Thompson,Action|Drama|Fantasy|Mystery|Thriller,Nicolas Cage,Left Behind ,Quinton Aaron,3.1
2400,Paul Schneider,Comedy|Drama|Romance,Craig T. Nelson,The Family Stone ,Tyrone Giordano,6.3
2401,Sean Patrick Thomas,Comedy|Drama,Harry Lennix,Barbershop 2: Back in Business ,Kenan Thompson,5.7
2402,Tony Cox,Comedy|Crime|Drama,Bernie Mac,Bad Santa ,Alex Borstein,7.1
2403,Charles Napier,Comedy|Crime,Will Ferrell,Austin Powers: International Man of Mystery ,Robert Wagner,7
2404,Louis Mandylor,Comedy|Family|Romance,Nia Vardalos,My Big Fat Greek Wedding 2 ,Joey Fatone,6.1
2405,Rachael Harris,Comedy|Family,Zachary Gordon,Diary of a Wimpy Kid: Rodrick Rules ,Fran Kranz,6.6
2406,Bill Duke,Action|Horror|Sci-Fi,Shane Black,Predator ,Carl Weathers,7.8
